fold,accuracy,precision,recall,f1,auc,epochs_run,time_s
1,0.7686139747995419,0.29136690647482016,0.9418604651162791,0.44505494505494503,0.9608684731538666,9,32.90699362754822
2,0.9403153153153153,0.6826923076923077,0.7802197802197802,0.7282051282051282,0.9222496449598081,14,45.030686378479004
3,0.9156756756756756,0.6145251396648045,0.9243697478991597,0.738255033557047,0.9760931667952542,13,45.37345743179321
4,0.9515151515151515,0.7892156862745098,0.9698795180722891,0.8702702702702703,0.9892165750380162,16,54.71233820915222
5,0.9262820512820513,0.5080645161290323,0.8873239436619719,0.6461538461538462,0.9782952047545389,9,31.984220504760742
6,0.9173754556500607,0.5357142857142857,0.6081081081081081,0.569620253164557,0.9110164904557428,12,42.60898232460022
7,0.9224343675417661,0.5857142857142857,0.5324675324675324,0.5578231292517006,0.909654077853815,19,67.04370546340942
8,0.8672456575682382,0.4245810055865922,0.95,0.5868725868725869,0.9693870523415977,9,32.27008557319641
9,0.9644607843137255,0.7523809523809524,0.9634146341463414,0.8449197860962567,0.9922243636605304,15,53.77896857261658
10,0.8853046594982079,0.44036697247706424,0.5783132530120482,0.5,0.762168035537375,9,32.86638116836548
